"","state","jurisdiction","candidate","county","year","office","party","mode","stage","version","writein","unofficial","source","dataverse","caucus","votes"
"141","New Hampshire","ALSTEAD","CASTRO","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",1
"142","New Hampshire","ALSTEAD","DE LA FUENTE","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"143","New Hampshire","ALSTEAD","DELANEY","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",1
"144","New Hampshire","ALSTEAD","DUNLAP","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"145","New Hampshire","ALSTEAD","ELLINGER","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"146","New Hampshire","ALSTEAD","GABBARD","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",13
"147","New Hampshire","ALSTEAD","GLEIBERMAN","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"148","New Hampshire","ALSTEAD","GREENSTEIN","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",1
"149","New Hampshire","ALSTEAD","HARRIS","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"150","New Hampshire","ALSTEAD","HEWES","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"151","New Hampshire","ALSTEAD","KLOBUCHAR","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",106
"152","New Hampshire","ALSTEAD","KOOS","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"153","New Hampshire","ALSTEAD","KRAUS","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
